hajoca_product_id,sku,description,category,manufacturer,manufacturer_cleaned,uom,hajoca_profit_center,current_price,availability,qty_avail,is_active,status,sell_qty,pkg_qty,pricing_qty,catalog_no,hist_purchases,has_image
3183386,2741372,KOHLER K-4775-0 BREVIA Q2 ROUND FRONT TOILET SEAT QUICK RELEASE WHITE,General,Unknown,Kohler,EA,328,9308,in_stock,0,True,,0,0,0,,0,0
2161013,,GROHE 20.572.EN1 CONCETTO 2HDL 8CC LAV FCT BN,General,Unknown,Grohe,EA,328,6535,in_stock,0,True,,0,0,0,,0,0
5880868,1859565,KOHLER K-2967-BR1 20X26 FRAMED MIRRORED CABINET OIL RUBBED BRONZE,General,Unknown,Kohler,EA,328,8304,in_stock,0,True,,0,0,0,,0,0
7753938,2916241,KOHLER K-28271-VS COMPONENTS  PD KIT FCT W/ RESPONSE VS,General,Unknown,Kohler,EA,328,7603,in_stock,0,True,,0,0,0,,0,0
6362,3388270,1-1/2x2-1/2 NIPPLE BRASS,General,Unknown,,EA,328,940,in_stock,0,True,,0,0,0,,0,1
5530619,2584346,3/4 ST 90 ELBOW SPGXS CPVC CTS FLOWGUARD GOLD (CTS-2304)(4707-2),General,Unknown,,EA,328,6054,in_stock,0,True,,0,0,0,,0,0
1217820,,LF 1-1/2x1-1/4 HEX BUSHING BRASS,General,Unknown,,EA,328,3546,in_stock,0,True,,0,0,0,,0,1
9008656,,LF 1x3/4 COUPLING BRASS,General,Unknown,,EA,328,4022,in_stock,0,True,,0,0,0,,0,1
9614,,3/4x7 NIPPLE GALV,General,Unknown,,EA,328,9021,in_stock,57,True,,0,0,0,,0,0
6907398,2645687,"ZOELLER 292-0002 N292 2"" 115V 1/2HP HIGH HEAD SEWAGE NON-AUTO 20'",General,Unknown,,EA,328,9112,in_stock,0,True,,0,0,0,,0,1
5587923,1930382,KOHLER K-23488-4-CP PARALLEL 3-HOLE DECK MOUNT TUB FILLER W/ HANDSHOWER,General,Unknown,Kohler,EA,328,4890,in_stock,0,True,,0,0,0,,0,0
7854904,2869216,KOHLER K-37054-CP ALTEO TP HOLDER CP,General,Unknown,Kohler,EA,328,9214,in_stock,0,True,,0,0,0,,0,0
3162551,,"1-1/2"" PE GAS CHAMFERING TOOL (58508)",General,Unknown,,EA,328,8437,in_stock,0,True,,0,0,0,,0,1
41608,,"JCM 201-008401 1/2"" IPS REPAIR COUP (SB-411)",General,Unknown,IPS Corporation,EA,328,5634,in_stock,0,True,,0,0,0,,0,1
2311,2851853,6x2 SAN TEE NH,General,Unknown,,EA,328,2572,in_stock,0,True,,0,0,0,,0,0
6593356,,"1829-007 3/4"" SxS COUPLING CPVC80",General,Unknown,,EA,328,4089,in_stock,0,True,,0,0,0,,0,1
4486151,1867113,"KOHLER K-11893-2MB PURIST  24"" GRAB BAR 2MB ",General,Unknown,Kohler,EA,328,6178,in_stock,0,True,,0,0,0,,0,0
1848072,1788406,"ROHL R1040R VOL CONTROL ROUGH 3/4""",General,Unknown,Rohl,EA,328,7264,in_stock,0,True,,0,0,0,,0,0
